Hisse,Sektör,Endeks Korelasyonu
THYAO,Ulaştırma,0.7452124211139065
EREGL,Sanayi / Demir-Çelik,0.708404700932816
AKBNK,Bankacılık,0.7077278494022025
KRDMD,Sanayi / Demir-Çelik,0.7003400485554855
PGSUS,Ulaştırma,0.6847486775598808
ENJSA,Enerji / Rafineri,0.6506997257938121
GARAN,Bankacılık,0.6475335690706197
BIMAS,Perakende Ticaret,0.6408711329930618
TUPRS,Enerji / Rafineri,0.640701910592437
ASELS,Savunma / Teknoloji,0.6306354283976121
MGROS,Perakende Ticaret,0.6168021444584213
OTKAR,Savunma / Teknoloji,0.5566747492032221
